,director,director_id
873,Harry Beaumont,873
874,Lloyd Corrigan,874
875,John Cromwell,875
876,George Archainbaud,876
877,Edward Sedgwick,877
878,Sam Wood,878
879,William A. Seiter,879
880,Ray Enright,880
881,Nick Grinde,881
882,Alfred E. Green,882
883,Paul Sloane,883
884,Benjamin Stoloff,884
885,Henry King,885
886,Howard Hughes,886
887,Tay Garnett,887
888,Yasujirô Ozu,888
889,Edward H. Griffith,889
890,Edward F. Cline,890
891,Roy Pomeroy,891
892,James Whale,892
893,David Butler,893
894,John Murray Anderson,894
895,Frank Capra,895
896,Sidney Franklin,896
897,Victor Sjöström,897
898,Frank Lloyd,898
899,Harry d'Abbadie d'Arrast,899
900,Robert Z. Leonard,900
901,Leo McCarey,901
902,Roy Del Ruth,902
903,Otto Brower,903
904,Frank Borzage,904
905,Mervyn LeRoy,905
906,Ted Wilde,906
907,Harry Beaumont,907
908,Lowell Sherman,908
909,Paul L. Stein,909
910,Charles Reisner,910
911,Melville W. Brown,911
912,Cecil B. DeMille,912
913,Michael Curtiz,913
914,George Abbott,914
915,Alfred Hitchcock,915
916,Michael Curtiz,916
917,William A. Wellman,917
918,Scott Pembroke,918
919,John Ford,919
920,George W. Hill,920
921,Lloyd Bacon,921
922,Malcolm St. Clair,922
923,Ernst Lubitsch,923
924,Josef von Sternberg,924
925,Alfred Hitchcock,925
926,Jack Conway,926
927,King Vidor,927
928,Lloyd Bacon,928
929,Lloyd Bacon,929
930,John Francis Dillon,930
931,Paul L. Stein,931
932,Harry Beaumont,932
933,Tod Browning,933
934,Robert Milton,934
935,Sam Wood,935
936,Dorothy Arzner,936
937,Victor Halperin,937
938,William C. de Mille,938
939,Jean Grémillon,939
940,Mervyn LeRoy,940
941,Yakov Protazanov,941
942,Augusto Genina,942
943,Edward Sloman,943
944,George Fitzmaurice,944
945,George Fitzmaurice,945
946,Frank Capra,946
947,Yasujirô Ozu,947
948,Edmund Goulding,948
949,Fred Niblo,949
950,Nick Grinde,950
951,Victor Fleming,951
952,Rowland V. Lee,952
953,Michael Curtiz,953
954,William Beaudine,954
955,Lionel Barrymore,955
956,Irene Starewicz,956
